Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SCAG0006_Normal_Block_Service,,,,27-05-2024 12:51:17,27-05-2024 13:00:27,9m - 9.427s,PASSED
,,,,,,,
Test Cases/SCAG0006/AGN0006-001,,,,27-05-2024 12:51:17,27-05-2024 12:53:03,1m - 45.952s,PASSED
"BlockService.insertServiceBlock(""openCIF"")",,,,27-05-2024 12:51:17,27-05-2024 12:51:19,1.423s,PASSED
"callTestCase(findTestCase(""Common Steps/Page_Login""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:51:19,27-05-2024 12:52:46,1m - 27.603s,PASSED
"callTestCase(findTestCase(""Common Steps/F_Page Beranda/Page_Beranda_LayananKeuangan""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:52:46,27-05-2024 12:52:52,5.409s,PASSED
"callTestCase(findTestCase(""Common Steps/F_Buka Rekening BNI Pandai/F_SubMenu_LayananKeuangan/Page_LayananKeuangan_BukaRekening""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:52:52,27-05-2024 12:52:54,2.236s,PASSED
"callTestCase(findTestCase(""Common Steps/F_Buka Rekening BNI Pandai/F_SubMenu_LayananKeuangan/Page_BukaRekening_RekeningPandai""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:52:54,27-05-2024 12:52:56,2.036s,PASSED
"callTestCase(findTestCase(""Common Steps/F_Block Service/Message_PeningkatanLayananUntukAnda""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:52:56,27-05-2024 12:53:01,4.759s,PASSED
"BlockService.deleteServiceBlock(""openCIF"")",,,,27-05-2024 12:53:01,27-05-2024 12:53:02,1.078s,PASSED
closeApplication(),,,,27-05-2024 12:53:02,27-05-2024 12:53:03,1.297s,PASSED
,,,,,,,
Test Cases/SCAG0006/AGN0006-002,,,,27-05-2024 12:53:03,27-05-2024 12:54:59,1m - 55.511s,PASSED
"BlockService.insertServiceBlock(""tiketInquiry"")",,,,27-05-2024 12:53:03,27-05-2024 12:53:04,0.918s,PASSED
"callTestCase(findTestCase(""Common Steps/Page_Login""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:53:04,27-05-2024 12:54:35,1m - 30.343s,PASSED
"callTestCase(findTestCase(""Common Steps/F_Page Beranda/Page_Beranda_BayarBeli""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:54:35,27-05-2024 12:54:41,6.404s,PASSED
"callTestCase(findTestCase(""Common Steps/F_Pemesanan Tiket Penyebrangan ASDP/F_TabBayarBeli/Page_BayarBeli_TiketTransportasi""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:54:41,27-05-2024 12:54:49,7.600s,PASSED
"callTestCase(findTestCase(""Common Steps/F_Pemesanan Tiket Penyebrangan ASDP/F_MenuTiketTransportasi/Page_TiketTransportasi_Penerbangan""), [:], STOP_ON_FAILURE)",,,,27-05-2024 12:54:49,27-05-2024 12:54:51,2.768s,PASSED
